2022-04-26 19:47:47.812 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.820 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.836 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.860 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.868 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.892 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.908 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.924 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.940 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.964 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.972 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:47.996 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.020 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.036 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.052 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.060 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.084 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.100 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.116 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.132 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.156 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.164 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.188 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.212 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.228 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.244 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.252 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.271 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.295 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.309 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.333 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.341 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.365 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.381 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.405 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.413 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.437 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.445 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.461 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.485 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.501 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.525 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.533 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.557 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.576 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.588 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.612 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.628 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.636 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.652 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:48.676 | WARNING  | model:Sensor:85 - Sensor
